species,Lon,Lat
Huperzia_somae,120.805908,23.630213
Huperzia_selago,120.8061,23.5167
Huperzia_somae,120.8061,23.5167
Huperzia_javanica,120.806111,23.516667
Huperzia_quasipolytrichoides,120.806111,23.516667
Huperzia_selago,120.806111,23.516667
Huperzia_somae,120.806111,23.516667
Huperzia_somae,120.806944,22.701667
Huperzia_quasipolytrichoides,120.8089,23.548723
Huperzia_javanica,120.81,22.7
Huperzia_somae,120.81,22.7
Huperzia_javanica,120.810174,23.343776
Huperzia_quasipolytrichoides,120.810833,23.553421
Huperzia_somae,120.811518,23.511669
Huperzia_quasipolytrichoides,120.81221,23.556222
Huperzia_quasipolytrichoides,120.813056,23.518611
Huperzia_somae,120.813056,23.518611
Huperzia_somae,120.8131,23.5186
Huperzia_quasipolytrichoides,120.81318,23.556404
Huperzia_quasipolytrichoides,120.814722,23.110833
Huperzia_javanica,120.81509,22.37983
Huperzia_javanica,120.819167,23.494167
Huperzia_somae,120.819167,23.494167
Huperzia_somae,120.8192,23.4942
Huperzia_somae,120.820887,23.502055
Huperzia_javanica,120.824278,22.634027
Huperzia_javanica,120.824772,22.863781
Huperzia_somae,120.825501,23.482484
Huperzia_somae,120.825514,23.482456
Huperzia_javanica,120.825685,24.315944
Huperzia_somae,120.826366,23.482564
Huperzia_javanica,120.829599,23.499133
Huperzia_somae,120.830009,23.47497
Huperzia_somae,120.8356,23.5272
Huperzia_somae,120.835644,23.527204
Huperzia_somae,120.845676,23.47147
Huperzia_quasipolytrichoides,120.846362,23.471983
Huperzia_somae,120.846558,23.472105
Huperzia_javanica,120.851429,23.294137
Huperzia_javanica,120.854444,22.873889
Huperzia_quasipolytrichoides,120.854444,22.873889
Huperzia_javanica,120.859781,23.391332
Huperzia_somae,120.860189,23.541588
Huperzia_javanica,120.86666,23.51666
Huperzia_somae,120.872362,23.471258
Huperzia_javanica,120.873753,23.266356
Huperzia_javanica,120.88016,23.392766
Huperzia_somae,120.880575,23.483067
Huperzia_javanica,120.88064,23.366549
Huperzia_somae,120.8833,23.4833
Huperzia_javanica,120.883333,22.733333
Huperzia_somae,120.883333,23.483333
Huperzia_quasipolytrichoides,120.884021,23.280826
Huperzia_quasipolytrichoides,120.893765,23.536725
Huperzia_javanica,120.894023,23.453241
Huperzia_quasipolytrichoides,120.895,22.747778
Huperzia_javanica,120.895556,22.731111
Huperzia_quasipolytrichoides,120.9,23.23333
Huperzia_javanica,120.9,23.283333
Huperzia_javanica,120.905013,24.337961
Huperzia_javanica,120.905432,23.317685
Huperzia_somae,120.9059,23.2836
Huperzia_somae,120.90594,23.283639
Huperzia_quasipolytrichoides,120.907495,23.283152
Huperzia_quasipolytrichoides,120.907778,23.231111
Huperzia_javanica,120.907944,22.511314
Huperzia_javanica,120.909906,22.639106
Huperzia_javanica,120.910172,24.231444
Huperzia_somae,120.9119,23.2792
Huperzia_somae,120.911944,23.279167
Huperzia_quasipolytrichoides,120.912314,23.257175
Huperzia_quasipolytrichoides,120.913281,23.246644
Huperzia_quasipolytrichoides,120.913461,23.245858
Huperzia_quasipolytrichoides,120.914531,23.258881
Huperzia_quasipolytrichoides,120.914558,23.258846
Huperzia_quasipolytrichoides,120.914594,23.2589
Huperzia_quasipolytrichoides,120.914594,23.258947
